Row Labels,Sum of eigencentrality,,,
0,2.140458,,,
Matt Damon,0.601383,,,
Albert Finney,0.203985,,,
Bruce Green,0.191257,,,
Edgar Ramírez,0.162513,,,
Benedict Wong,0.148792,,,
Joan Allen,0.148792,,,
Oksana Akinshina,0.148792,,,
Donald Glover,0.148792,,,
Rory Kinnear,0.120906,,,
Helen McCrory,0.076966,,,
Christoph Waltz,0.04707,,,
Mathieu Amalric,0.04707,,,
Stephanie Sigman,0.04707,,,
Giancarlo Giannini,0.04707,,,
1,2.852734,,,
Gary Oldman,0.461818,,,
Daniel Radcliffe,0.376526,,,
Rupert Grint,0.312423,,,
Robert Pattinson,0.277143,,,
Alan Rickman,0.241722,,,
Fiona Shaw,0.178395,,,
Verne Troyer,0.168983,,,
Anna Kendrick,0.148782,,,
Emma Watson,0.142564,,,
Taylor Lautner,0.126401,,,
Kristen Stewart,0.126401,,,
Robert Wagner,0.071704,,,
Josh Zuckerman,0.059157,,,
Muse Watson,0.059157,,,
Birgitte Hjort Sørensen,0.050779,,,
Hana Mae Lee,0.050779,,,
2,2.720439,,,
Ian McDiarmid,0.3422,,,
Natalie Portman,0.302045,,,
Johnny Depp,0.284123,,,
Christopher Lee,0.257017,,,
Liam Neeson,0.246861,,,
Orlando Bloom,0.195199,,,
Anne Hathaway,0.144057,,,
Anthony Hopkins,0.132996,,,
David Kelly,0.122339,,,
Billy Boyd,0.121141,,,
Hayden Christensen,0.120959,,,
Jack Davenport,0.110088,,,
Stephen Graham,0.085779,,,
Sam Claflin,0.085779,,,
Bernard Hill,0.073874,,,
Matthew McConaughey,0.047991,,,
Mackenzie Foy,0.047991,,,
3,8.425946,,,
John Ratzenberger,1,,,
Tom Hanks,0.992877,,,
Steve Buscemi,0.411518,,,
Don Rickles,0.373879,,,
Jim Varney,0.373879,,,
James Coburn,0.272462,,,
Fred Willard,0.232242,,,
Jess Harnell,0.232242,,,
Jeff Garlin,0.232242,,,
George Carlin,0.232242,,,
Delroy Lindo,0.232242,,,
Brian Dennehy,0.232242,,,
Kelly Macdonald,0.232242,,,
Cheech Marin,0.232242,,,
Janeane Garofalo,0.232242,,,
Julie Walters,0.232242,,,
Miko Hughes,0.22878,,,
Siobhan Fallon Hogan,0.22878,,,
Seth Gabel,0.22878,,,
Nick Searcy,0.22878,,,
Jürgen Prochnow,0.22878,,,
Paul Sanchez,0.22878,,,
Sam Anderson,0.22878,,,
Kathleen Quinlan,0.22878,,,
Tyler Labine,0.165947,,,
Bruce Willis,0.136666,,,
Sean Hayes,0.122451,,,
Will Patton,0.116409,,,
Fran Drescher,0.10827,,,
Adam Sandler,0.10827,,,
Olivia Williams,0.045329,,,
Haley Joel Osment,0.045329,,,
4,2.330581,,,
Hugh Jackman,0.409222,,,
Ryan Reynolds,0.245829,,,
Emma Stone,0.213575,,,
Dominic Monaghan,0.147101,,,
Kelsey Grammer,0.146661,,,
Nicolas Cage,0.135466,,,
Daniel Cudmore,0.125411,,,
Aaron Stanford,0.117109,,,
Bruce Davison,0.117109,,,
Mike Vogel,0.090988,,,
Andrew Garfield,0.090332,,,
Stefan Kapicic,0.07515,,,
Ed Skrein,0.07515,,,
B.J. Novak,0.074987,,,
Chris Zylka,0.074987,,,
Sophia Myles,0.04853,,,
Bingbing Li,0.04853,,,
Annie Parisse,0.047222,,,
Armando Riesco,0.047222,,,
5,4.594529,,,
Robert Downey Jr.,0.509425,,,
Scarlett Johansson,0.414888,,,
Jeff Bridges,0.360996,,,
Chris Hemsworth,0.331826,,,
Hayley Atwell,0.313603,,,
Eddie Marsan,0.301308,,,
Jon Favreau,0.29446,,,
Chris Evans,0.282711,,,
Paul Anderson,0.165971,,,
Robert Maillet,0.165971,,,
Don Cheadle,0.162259,,,
Charlize Theron,0.158529,,,
Bill Murray,0.137591,,,
Dominic Cooper,0.125184,,,
Garry Shandling,0.117447,,,
Bruce Greenwood,0.117344,,,
Leonard Nimoy,0.098188,,,
Olivia Wilde,0.094024,,,
James Frain,0.094024,,,
Lily James,0.087903,,,
Derek Jacobi,0.087903,,,
Teri Garr,0.0452,,,
Sydney Pollack,0.0452,,,
Benedict Cumberbatch,0.041287,,,
Noel Clarke,0.041287,,,
6,1.822107,,,
Morgan Freeman,0.306512,,,
Christian Bale,0.214541,,,
Peter Dinklage,0.200853,,,
Will Ferrell,0.155372,,,
Joseph Gordon-Levitt,0.142276,,,
Tom Hardy,0.133376,,,
Heath Ledger,0.115517,,,
Leonardo DiCaprio,0.114475,,,
Alison Brie,0.10266,,,
Zooey Deschanel,0.0809,,,
Lukas Haas,0.064403,,,
Hal Holbrook,0.050899,,,
Bruce McGill,0.050899,,,
Gloria Stuart,0.044712,,,
Kate Winslet,0.044712,,,
7,0.73078,,,
Jennifer Lawrence,0.237994,,,
Josh Hutcherson,0.125933,,,
Philip Seymour Hoffman,0.111613,,,
Sandra Ellis Lafferty,0.086046,,,
Anthony Reynolds,0.086046,,,
Jami Gertz,0.041574,,,
Alan Ruck,0.041574,,,
8,2.727055,,,
Vin Diesel,0.529412,,,
Bradley Cooper,0.288017,,,
Djimon Hounsou,0.267465,,,
Paul Walker,0.170977,,,
Dwayne Johnson,0.168588,,,
Jason Statham,0.140725,,,
Gerard Butler,0.130216,,,
America Ferrera,0.108741,,,
Mike Epps,0.085035,,,
Mike Tyson,0.085035,,,
Rob Riggle,0.085035,,,
Mason Lee,0.085035,,,
Keir O'Donnell,0.085035,,,
Leonard Roberts,0.085035,,,
Connie Nielsen,0.078264,,,
Oliver Reed,0.078264,,,
Craig Ferguson,0.05998,,,
Patricia Velasquez,0.050906,,,
Brendan Fraser,0.050906,,,
Vincent Regan,0.047192,,,
Michael Fassbender,0.047192,,,
9,1.101584,,,
Judy Greer,0.331537,,,
Bryce Dallas Howard,0.170602,,,
Kodi Smit-McPhee,0.163359,,,
T.I.,0.138708,,,
Omar Sy,0.110836,,,
Loretta Devine,0.093271,,,
Lisa Edelstein,0.093271,,,
10,2.586904,,,
Robin Williams,0.307259,,,
Steve Carell,0.294412,,,
Steve Coogan,0.28832,,,
Miranda Cosgrove,0.162796,,,
Elizabeth Daily,0.159723,,,
Jon Hamm,0.157923,,,
Jack McBrayer,0.137812,,,
Rami Malek,0.133977,,,
Albert Brooks,0.112797,,,
Eric Stonestreet,0.093509,,,
Scott Weinger,0.090696,,,
Matthew Lawrence,0.090696,,,
Mara Wilson,0.090696,,,
Frank Welker,0.090696,,,
Sarah Silverman,0.071405,,,
Joe Lo Truglio,0.054427,,,
Mary Kay Place,0.051056,,,
Kathy Griffin,0.051056,,,
Yeardley Smith,0.041262,,,
Marcia Wallace,0.041262,,,
Richard Tyson,0.032562,,,
Lin Shaye,0.032562,,,
11,2.838028,,,
Tom Cruise,0.42118,,,
Lisa Ann Walter,0.259187,,,
Tom Skerritt,0.172005,,,
Jeremy Renner,0.153247,,,
Rick Gonzalez,0.150443,,,
Adrian Pasdar,0.13476,,,
James Franco,0.133693,,,
Sean Harris,0.129315,,,
Michael Nyqvist,0.129315,,,
Dougray Scott,0.122552,,,
Valeria Golino,0.122552,,,
Kristin Scott Thomas,0.122552,,,
Richard Roxburgh,0.122552,,,
Vanessa Redgrave,0.122552,,,
Beth Grant,0.122552,,,
Mila Kunis,0.111403,,,
David Oyelowo,0.073705,,,
Seth MacFarlane,0.069133,,,
Tim Holmes,0.064482,,,
Kirsten Dunst,0.050424,,,
J.K. Simmons,0.050424,,,
12,1.973772,,,
Will Smith,0.427358,,,
Rip Torn,0.154643,,,
Mary McDonnell,0.154232,,,
Adam Baldwin,0.132197,,,
Rosario Dawson,0.130542,,,
Linda Fiorentino,0.130542,,,
Willow Smith,0.123752,,,
Kevin Sussman,0.123752,,,
Alice Braga,0.123752,,,
Michael Stuhlbarg,0.123752,,,
Nicole Scherzinger,0.123752,,,
Michael Rapaport,0.123752,,,
Michael Spears,0.050873,,,
Maury Chaykin,0.050873,,,
13,4.990225,,,
Harrison Ford,0.828142,,,
Kenny Baker,0.320982,,,
Sela Ward,0.285206,,,
William Hootkins,0.260442,,,
Dean Stockwell,0.25595,,,
Karen Allen,0.251866,,,
Jim Broadbent,0.239206,,,
Peter Cushing,0.22685,,,
Anthony Daniels,0.22685,,,
Daniel Roebuck,0.224502,,,
Ray Winstone,0.213622,,,
Kate Capshaw,0.204708,,,
Alison Doody,0.204708,,,
Amrish Puri,0.204708,,,
Julian Glover,0.204708,,,
Michael Gough,0.097241,,,
Emily Ratajkowski,0.079465,,,
Dennis Quaid,0.079465,,,
Jake Gyllenhaal,0.079465,,,
Patrick Fugit,0.079465,,,
Jack Palance,0.07927,,,
Mary Elizabeth Mastrantonio,0.068989,,,
Bob Gunton,0.068989,,,
Kiran Shah,0.065779,,,
Shane Rangi,0.065779,,,
Debi Mazar,0.036934,,,
Rene Auberjonois,0.036934,,,
14,2.189446,,,
Wayne Knight,0.517129,,,
Angelina Jolie Pitt,0.226128,,,
Ariana Richards,0.15407,,,
Brad Pitt,0.150477,,,
Dan Fogler,0.1501,,,
Bob Peck,0.133582,,,
Bernie Mac,0.104681,,,
Stephanie March,0.089234,,,
Cedric the Entertainer,0.08148,,,
Jada Pinkett Smith,0.08148,,,
Sharlto Copley,0.067749,,,
Sam Riley,0.067749,,,
Elliott Gould,0.067415,,,
Peter Capaldi,0.054258,,,
Mireille Enos,0.054258,,,
Andy Richter,0.047554,,,
Martin Short,0.047554,,,
Richard Schiff,0.047274,,,
Vanessa Lee Chester,0.047274,,,
Grand Total,44.024588,,,
,,,,
,,,,
,,,,
IMDB,Gross,,,
Chris Hemsworth,Matt Damon,Matt Damon,,60%
Scarlett Johansson,Gary Oldman,Gary Oldman,,
Matt Damon,Ian McDiarmid,#N/A,,
Ryan Reynolds,John Ratzenberger,John Ratzenberger,,
Wayne Knight,Hugh Jackman,Hugh Jackman,,
Hugh Jackman,Robert Downey Jr.,Robert Downey Jr.,,
 Vin Diesel,Morgan Freeman,Morgan Freeman,,
Morgan Freeman,Jennifer Lawrence,#N/A,,
Gary Oldman,Vin Diesel,#N/A,,
