Id,Label,timeset,att1,modularity_class,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,eigencentrality,Degree
1,Aaron Stanford,,Aaron Stanford,5,15,17,0.114631,0.151571,0,0,1,1,0.082683,2
2,Adam Baldwin,,Adam Baldwin,11,13.8,12,0.125114,0.15198,0,0,1,1,0.092344,2
3,Adam Sandler,,Adam Sandler,13,13.4,14,0.121306,0.155805,0,0,1,1,0.093128,2
4,Adrian Pasdar,,Adrian Pasdar,12,13.8,12,0.134343,0.162312,0,0,1,1,0.093078,2
5,Alan Rickman,,Alan Rickman,8,28,14,0.137983,0.179728,612.630952,0,0.333333,2,0.183855,4
6,Alan Ruck,,Alan Ruck,5,12.6,18,0.100475,0.123382,0,0,1,1,0.022613,2
7,Albert Brooks,,Albert Brooks,9,28.4,16,0.123374,0.158887,546,0,0.333333,2,0.071687,4
8,Albert Finney,,Albert Finney,2,31.8,12,0.14698,0.191083,1614,0,0.333333,2,0.168762,4
9,Alice Braga,,Alice Braga,11,14.4,12,0.125,0.150768,0,0,1,1,0.088022,2
10,Alison Brie,,Alison Brie,7,15.6,14,0.148971,0.180817,0,0,1,1,0.074118,2
11,Alison Doody,,Alison Doody,10,16.6,14,0.141534,0.178469,0,0,1,1,0.184399,2
12,America Ferrera,,America Ferrera,6,24,14,0.119774,0.154824,135.5,0,0.666667,2,0.072944,3
13,Amrish Puri,,Amrish Puri,10,15.2,14,0.141534,0.178469,0,0,1,1,0.184399,2
14,Andrew Garfield,,Andrew Garfield,3,20.4,15,0.124773,0.153168,0.5,0,0.666667,2,0.054486,3
15,Andy Richter,,Andy Richter,4,13.8,18,0.08506,0.104577,0,0,1,1,0.021788,2
16,Angelina Jolie Pitt,,Angelina Jolie Pitt,4,42.2,14,0.126787,0.179532,3176,0,0.2,3,0.181536,6
17,Anna Kendrick,,Anna Kendrick,8,28,16,0.112153,0.144306,546,0,0.4,4,0.100892,5
18,Anne Hathaway,,Anne Hathaway,0,30.2,14,0.133172,0.166581,546,0,0.333333,2,0.099181,4
19,Annie Parisse,,Annie Parisse,3,13.8,16,0.114727,0.138786,0,0,1,1,0.027233,2
20,Anthony Daniels,,Anthony Daniels,10,17.6,14,0.141534,0.178469,0,0,1,1,0.205356,2
21,Anthony Hopkins,,Anthony Hopkins,0,14,11,0.174051,0.200328,0,0,1,1,0.107331,2
22,Anthony Reynolds,,Anthony Reynolds,5,14.6,17,0.111426,0.14095,0,0,1,1,0.055584,2
23,Ariana Richards,,Ariana Richards,4,29.2,14,0.125628,0.169472,546,0,0.333333,2,0.136512,4
24,Armando Riesco,,Armando Riesco,3,13.8,16,0.114727,0.138786,0,0,1,1,0.027233,2
25,B.J. Novak,,B.J. Novak,3,13.4,15,0.124717,0.151349,0,0,1,1,0.045545,2
26,Benedict Cumberbatch,,Benedict Cumberbatch,0,15.6,12,0.138959,0.155686,0,0,1,1,0.02534,2
27,Benedict Wong,,Benedict Wong,2,16.2,12,0.146044,0.182598,0,0,1,1,0.136604,2
28,Bernard Hill,,Bernard Hill,0,17.8,14,0.126611,0.146576,0,0,1,1,0.049557,2
29,Bernie Mac,,Bernie Mac,4,29,16,0.102192,0.136307,1084,0,0.333333,2,0.053723,4
30,Beth Grant,,Beth Grant,12,16,13,0.128565,0.155682,0,0,1,1,0.085976,2
31,Bill Murray,,Bill Murray,1,30.4,11,0.155367,0.182713,546,0,0.333333,2,0.105022,4
32,Billy Boyd,,Billy Boyd,0,26.5,13,0.142045,0.167143,116.583333,0,0.666667,2,0.083178,3
33,Bingbing Li,,Bingbing Li,5,11.4,18,0.103073,0.13014,0,0,1,1,0.030249,2
34,Birgitte Hjort Sørensen,,Birgitte Hjort Sørensen,8,13,17,0.100917,0.121978,0,0,1,1,0.03092,2
35,Bob Gunton,,Bob Gunton,10,12.8,15,0.124547,0.150907,0,0,1,1,0.056166,2
36,Bob Peck,,Bob Peck,4,16.2,14,0.125513,0.165835,0,0,1,1,0.123788,2
37,Brad Pitt,,Brad Pitt,4,42.6,15,0.113355,0.157391,2148,0,0.2,3,0.091921,6
38,Bradley Cooper,,Bradley Cooper,6,59.4,13,0.135602,0.190529,1626,0,0.142857,4,0.221179,8
39,Brendan Fraser,,Brendan Fraser,6,12.6,14,0.118739,0.146096,0,0,1,1,0.037803,2
40,Brian Dennehy,,Brian Dennehy,13,16,14,0.128145,0.172214,0,0,1,1,0.235212,2
41,Bruce Davison,,Bruce Davison,5,15,17,0.114631,0.151571,0,0,1,1,0.082683,2
42,Bruce Green,,Bruce Green,2,15.4,11,0.16148,0.198862,0,0,1,1,0.173514,2
43,Bruce Greenwood,,Bruce Greenwood,0,31.6,11,0.161196,0.187583,546,0,0.333333,2,0.085259,4
44,Bruce McGill,,Bruce McGill,7,14.8,15,0.124266,0.144943,0,0,1,1,0.028241,2
45,Bruce Willis,,Bruce Willis,13,29.4,14,0.12152,0.160654,546,0,0.333333,2,0.108528,4
46,Bryce Dallas Howard,,Bryce Dallas Howard,3,30.2,13,0.151682,0.191291,3600.088095,0,0.333333,2,0.119718,4
47,Cedric the Entertainer,,Cedric the Entertainer,4,27.2,17,0.092905,0.120684,272.5,0,0.5,3,0.038068,4
48,Charlize Theron,,Charlize Theron,11,12.8,11,0.141753,0.171121,0,0,1,1,0.119015,2
49,Cheech Marin,,Cheech Marin,13,14.4,14,0.128145,0.172214,0,0,1,1,0.235212,2
50,Chris Evans,,Chris Evans,1,31.1,10,0.174603,0.208577,1844.366667,0,0.5,3,0.233127,4
51,Chris Hemsworth,,Chris Hemsworth,0,45,10,0.191371,0.230902,11146.111905,0,0.2,3,0.268075,6
52,Chris Zylka,,Chris Zylka,3,14,15,0.124717,0.151349,0,0,1,1,0.045545,2
53,Christian Bale,,Christian Bale,7,42.6,13,0.163886,0.204175,2225,0,0.3,3,0.149771,5
54,Christoph Waltz,,Christoph Waltz,2,13.6,14,0.114155,0.136954,0,0,1,1,0.024725,2
55,Christopher Lee,,Christopher Lee,0,44.4,12,0.165066,0.203417,2598.72619,0,0.266667,4,0.184675,6
56,Connie Nielsen,,Connie Nielsen,6,17,14,0.119565,0.151187,0,0,1,1,0.056752,2
57,Craig Ferguson,,Craig Ferguson,6,16.4,15,0.107129,0.131929,0,0,1,1,0.036751,2
58,Dan Fogler,,Dan Fogler,4,15.2,14,0.126089,0.168866,0,0,1,1,0.134476,2
59,Daniel Cudmore,,Daniel Cudmore,5,13.6,17,0.114727,0.152783,0,0,1,1,0.086853,2
60,Daniel Radcliffe,,Daniel Radcliffe,8,52.9,14,0.14308,0.197106,2484.39881,0,0.285714,6,0.299817,7
61,Daniel Roebuck,,Daniel Roebuck,10,15.6,14,0.141826,0.180893,0,0,1,1,0.197209,2
62,David Kelly,,David Kelly,0,13.4,13,0.144509,0.171166,0,0,1,1,0.085814,2
63,David Oyelowo,,David Oyelowo,12,15.2,14,0.124153,0.15218,0,0,1,1,0.046834,2
64,Dean Stockwell,,Dean Stockwell,10,12.8,14,0.146044,0.18989,0,0,1,1,0.228012,2
65,Debi Mazar,,Debi Mazar,10,10.8,16,0.111111,0.131976,0,0,1,1,0.021198,2
66,Delroy Lindo,,Delroy Lindo,13,16.6,14,0.128145,0.172214,0,0,1,1,0.235212,2
