CCH_Pounder;Joel_David_Moore;Wes_Studi
Johnny_Depp;Orlando_Bloom;Jack_Davenport
Christoph_Waltz;Rory_Kinnear;Stephanie_Sigman
Tom_Hardy;Christian_Bale;Joseph_Gordon-Levitt
Doug_Walker;Rob_Walker;
Daryl_Sabara;Samantha_Morton;Polly_Walker
J.K._Simmons;James_Franco;Kirsten_Dunst
Brad_Garrett;Donna_Murphy;M.C._Gainey
Chris_Hemsworth;Robert_Downey_Jr.;Scarlett_Johansson
Alan_Rickman;Daniel_Radcliffe;Rupert_Grint
Henry_Cavill;Lauren_Cohan;Alan_D._Purwin
Kevin_Spacey;Marlon_Brando;Frank_Langella
Giancarlo_Giannini;Mathieu_Amalric;Rory_Kinnear
Johnny_Depp;Orlando_Bloom;Jack_Davenport
Johnny_Depp;Ruth_Wilson;Tom_Wilkinson
Henry_Cavill;Christopher_Meloni;Harry_Lennix
Peter_Dinklage;Pierfrancesco_Favino;Damián_Alcázar
Chris_Hemsworth;Robert_Downey_Jr.;Scarlett_Johansson
Johnny_Depp;Sam_Claflin;Stephen_Graham
Will_Smith;Michael_Stuhlbarg;Nicole_Scherzinger
Aidan_Turner;Adam_Brown;James_Nesbitt
Emma_Stone;Andrew_Garfield;Chris_Zylka
Mark_Addy;William_Hurt;Scott_Grimes
Aidan_Turner;Adam_Brown;James_Nesbitt
Christopher_Lee;Eva_Green;Kristin_Scott_Thomas
Naomi_Watts;Thomas_Kretschmann;Evan_Parke
Leonardo_DiCaprio;Kate_Winslet;Gloria_Stuart
Robert_Downey_Jr.;Scarlett_Johansson;Chris_Evans
Liam_Neeson;Alexander_Skarsgård;Tadanobu_Asano
Bryce_Dallas_Howard;Judy_Greer;Omar_Sy
Albert_Finney;Helen_McCrory;Rory_Kinnear
J.K._Simmons;James_Franco;Kirsten_Dunst
Robert_Downey_Jr.;Jon_Favreau;Don_Cheadle
Johnny_Depp;Alan_Rickman;Anne_Hathaway
Hugh_Jackman;Kelsey_Grammer;Daniel_Cudmore
Steve_Buscemi;Tyler_Labine;Sean_Hayes
Glenn_Morshower;Kevin_Dunn;Ramon_Rodriguez
Bingbing_Li;Sophia_Myles;Kelsey_Grammer
Tim_Holmes;Mila_Kunis;James_Franco
Emma_Stone;Andrew_Garfield;B.J._Novak
Jeff_Bridges;Olivia_Wilde;James_Frain
Joe_Mantegna;Thomas_Kretschmann;Eddie_Izzard
Ryan_Reynolds;Temuera_Morrison;Taika_Waititi
Tom_Hanks;John_Ratzenberger;Don_Rickles
Christian_Bale;Bryce_Dallas_Howard;Common
Jason_Statham;Paul_Walker;Vin_Diesel
Peter_Capaldi;Brad_Pitt;Mireille_Enos
Jennifer_Lawrence;Peter_Dinklage;Hugh_Jackman
Benedict_Cumberbatch;Bruce_Greenwood;Noel_Clarke
Eddie_Marsan;Ewen_Bremner;Ralph_Brown
Leonardo_DiCaprio;Elizabeth_Debicki;Steve_Bisley
Jake_Gyllenhaal;Richard_Coyle;Reece_Ritchie
Charlie_Hunnam;Clifton_Collins_Jr.;Larry_Joe_Campbell
Glenn_Morshower;Lester_Speight;Kevin_Dunn
Harrison_Ford;Ray_Winstone;Jim_Broadbent
A.J._Buckley;Jack_McGraw;Peter_Sohn
Kelly_Macdonald;John_Ratzenberger;Julie_Walters
Sofia_Boutella;Melissa_Roxburgh;Lydia_Wilson
John_Ratzenberger;Fred_Willard;Jeff_Garlin
Tzi_Ma;Dana_Ivey;Noémie_Lenoir
Oliver_Platt;Liam_James;Tom_McCarthy
Robin_Wright;Colin_Firth;Gary_Oldman
Channing_Tatum;Mila_Kunis;Eddie_Redmayne
Christoph_Waltz;Alexander_Skarsgård;Casper_Crump
Jim_Broadbent;Kiran_Shah;Shane_Rangi
Jennifer_Lawrence;Michael_Fassbender;Tye_Sheridan
Christian_Bale;Heath_Ledger;Morgan_Freeman
John_Ratzenberger;Delroy_Lindo;Jess_Harnell
Amy_Poehler;Rainn_Wilson;Stephen_Colbert
Robert_Downey_Jr.;Jeff_Bridges;Jon_Favreau
Chloë_Grace_Moretz;Christopher_Lee;Ray_Winstone
Will_Smith;Salma_Hayek;Bai_Ling
Jet_Li;Brendan_Fraser;Russell_Wong
Will_Smith;Robin_Atkin_Downes;Ike_Barinholtz
Jimmy_Bennett;Morgan_Freeman;Steve_Carell
Tom_Cruise;Lara_Pulver;Noah_Taylor
Jeanne_Tripplehorn;Rick_Aviles;Zakes_Mokae
Joseph_Gordon-Levitt;Dennis_Quaid;Leo_Howard
Amy_Poehler;Mindy_Kaling;Phyllis_Smith
Scarlett_Johansson;Bill_Murray;Garry_Shandling
Robert_Downey_Jr.;Scarlett_Johansson;Jon_Favreau
Chris_Hemsworth;Kristen_Stewart;Sam_Claflin
Angelina_Jolie_Pitt;Sharlto_Copley;Sam_Riley
Gary_Oldman;Judy_Greer;Kodi_Smit-McPhee
Tamsin_Egerton;Alice_Englert;Bipasha_Basu
Keanu_Reeves;Cary-Hiroyuki_Tagawa;Jin_Akanishi
Scarlett_Johansson;Chris_Evans;Hayley_Atwell
Jon_Hamm;Kathy_Griffin;Mary_Kay_Place
Judy_Greer;Chris_Bauer;Thomas_Robinson
Damon_Wayans_Jr.;Daniel_Henney;Abraham_Benrubi
Jack_McBrayer;Sarah_Silverman;Joe_Lo_Truglio
Tom_Hanks;Eddie_Deezen;Peter_Scolari
Vivica_A._Fox;Sela_Ward;Judd_Hirsch
Gerard_Butler;America_Ferrera;Craig_Ferguson
Nick_Stahl;M.C._Gainey;Carolyn_Hennesy
Bradley_Cooper;Vin_Diesel;Djimon_Hounsou
Matthew_McConaughey;Anne_Hathaway;Mackenzie_Foy
Leonardo_DiCaprio;Tom_Hardy;Joseph_Gordon-Levitt
Mark_Chinnery;Shin'ya_Tsukamoto;Atsuko_Maeda
Aidan_Turner;Adam_Brown;James_Nesbitt
Paul_Walker;Vin_Diesel;Jordana_Brewster
