index,source,target,weight,ID,Type
0,Avatar ,End of Days ,1.0,0,undirected
1,Avatar ,Face/Off ,1.0,1,undirected
2,Avatar ,Mystery Men ,1.0,2,undirected
3,Avatar ,The Shaggy Dog ,1.0,3,undirected
4,Avatar ,The Mortal Instruments: City of Bones ,1.0,4,undirected
5,Avatar ,Deep Rising ,1.0,5,undirected
6,Avatar ,The Last of the Mohicans ,1.0,6,undirected
7,Avatar ,Dodgeball: A True Underdog Story ,1.0,7,undirected
8,Avatar ,The New World ,1.0,8,undirected
9,Avatar ,Shark Night 3D ,1.0,9,undirected
10,Avatar ,RoboCop 3 ,1.0,10,undirected
11,Avatar ,Orphan ,1.0,11,undirected
12,Avatar ,Undisputed ,1.0,12,undirected
13,Avatar ,Tales from the Crypt: Demon Knight ,1.0,13,undirected
14,Avatar ,Grandma's Boy ,1.0,14,undirected
15,Avatar ,Dodgeball: A True Underdog Story ,1.0,15,undirected
16,Avatar ,Hatchet ,1.0,16,undirected
17,Pirates of the Caribbean: At World's End ,Pirates of the Caribbean: Dead Man's Chest ,3.0,17,undirected
18,Pirates of the Caribbean: At World's End ,The Lone Ranger ,1.0,18,undirected
19,Pirates of the Caribbean: At World's End ,Pirates of the Caribbean: On Stranger Tides ,1.0,19,undirected
20,Pirates of the Caribbean: At World's End ,Alice in Wonderland ,1.0,20,undirected
21,Pirates of the Caribbean: At World's End ,Alice Through the Looking Glass ,1.0,21,undirected
22,Pirates of the Caribbean: At World's End ,Charlie and the Chocolate Factory ,1.0,22,undirected
23,Pirates of the Caribbean: At World's End ,Dark Shadows ,1.0,23,undirected
24,Pirates of the Caribbean: At World's End ,Troy ,1.0,24,undirected
25,Pirates of the Caribbean: At World's End ,Rango ,1.0,25,undirected
26,Pirates of the Caribbean: At World's End ,Pirates of the Caribbean: The Curse of the Black Pearl ,3.0,26,undirected
27,Pirates of the Caribbean: At World's End ,The Lord of the Rings: The Fellowship of the Ring ,1.0,27,undirected
28,Pirates of the Caribbean: At World's End ,Kingdom of Heaven ,1.0,28,undirected
29,Pirates of the Caribbean: At World's End ,Public Enemies ,1.0,29,undirected
30,Pirates of the Caribbean: At World's End ,The Tourist ,1.0,30,undirected
31,Pirates of the Caribbean: At World's End ,The Lord of the Rings: The Return of the King ,1.0,31,undirected
32,Pirates of the Caribbean: At World's End ,The Lord of the Rings: The Two Towers ,1.0,32,undirected
33,Pirates of the Caribbean: At World's End ,Transcendence ,1.0,33,undirected
34,Pirates of the Caribbean: At World's End ,The Three Musketeers ,1.0,34,undirected
35,Pirates of the Caribbean: At World's End ,Mortdecai ,1.0,35,undirected
36,Pirates of the Caribbean: At World's End ,Elizabethtown ,1.0,36,undirected
37,Pirates of the Caribbean: At World's End ,Black Mass ,1.0,37,undirected
38,Pirates of the Caribbean: At World's End ,Into the Woods ,1.0,38,undirected
39,Pirates of the Caribbean: At World's End ,From Hell ,1.0,39,undirected
40,Pirates of the Caribbean: At World's End ,The Talented Mr. Ripley ,1.0,40,undirected
41,Pirates of the Caribbean: At World's End ,Secret Window ,1.0,41,undirected
42,Pirates of the Caribbean: At World's End ,The Ninth Gate ,1.0,42,undirected
