CCH_Pounder;Joel_David_Moore;Wes_Studi
Tom_Hardy;Christian_Bale;Joseph_Gordon-Levitt
Brad_Garrett;Donna_Murphy;M.C._Gainey
Chris_Hemsworth;Robert_Downey_Jr.;Scarlett_Johansson
Alan_Rickman;Daniel_Radcliffe;Rupert_Grint
Chris_Hemsworth;Robert_Downey_Jr.;Scarlett_Johansson
Aidan_Turner;Adam_Brown;James_Nesbitt
Aidan_Turner;Adam_Brown;James_Nesbitt
Leonardo_DiCaprio;Kate_Winslet;Gloria_Stuart
Robert_Downey_Jr.;Scarlett_Johansson;Chris_Evans
Albert_Finney;Helen_McCrory;Rory_Kinnear
Tom_Hanks;John_Ratzenberger;Don_Rickles
Jennifer_Lawrence;Peter_Dinklage;Hugh_Jackman
Benedict_Cumberbatch;Bruce_Greenwood;Noel_Clarke
Sofia_Boutella;Melissa_Roxburgh;Lydia_Wilson
John_Ratzenberger;Fred_Willard;Jeff_Garlin
Christian_Bale;Heath_Ledger;Morgan_Freeman
John_Ratzenberger;Delroy_Lindo;Jess_Harnell
Robert_Downey_Jr.;Jeff_Bridges;Jon_Favreau
Chloë_Grace_Moretz;Christopher_Lee;Ray_Winstone
Tom_Cruise;Lara_Pulver;Noah_Taylor
Amy_Poehler;Mindy_Kaling;Phyllis_Smith
Scarlett_Johansson;Bill_Murray;Garry_Shandling
Gary_Oldman;Judy_Greer;Kodi_Smit-McPhee
Scarlett_Johansson;Chris_Evans;Hayley_Atwell
Damon_Wayans_Jr.;Daniel_Henney;Abraham_Benrubi
Jack_McBrayer;Sarah_Silverman;Joe_Lo_Truglio
Gerard_Butler;America_Ferrera;Craig_Ferguson
Bradley_Cooper;Vin_Diesel;Djimon_Hounsou
Matthew_McConaughey;Anne_Hathaway;Mackenzie_Foy
Leonardo_DiCaprio;Tom_Hardy;Joseph_Gordon-Levitt
Mark_Chinnery;Shin'ya_Tsukamoto;Atsuko_Maeda
Aidan_Turner;Adam_Brown;James_Nesbitt
Brad_Pitt;Jason_Flemyng;Julia_Ormond
Jennifer_Lawrence;Michael_Fassbender;Oliver_Platt
Robert_Pattinson;Daniel_Radcliffe;Fiona_Shaw
Robert_Pattinson;Daniel_Radcliffe;Rupert_Grint
Janeane_Garofalo;John_Ratzenberger;Brian_Dennehy
Christian_Bale;Liam_Neeson;Morgan_Freeman
Josh_Gad;Maurice_LaMarche;Livvy_Stubenrauch
Tom_Hardy;Charlize_Theron;Zoë_Kravitz
Tom_Cruise;Tony_Goldwyn;Chad_Lindberg
Chris_Hemsworth;Leonard_Nimoy;Bruce_Greenwood
Gerard_Butler;Djimon_Hounsou;America_Ferrera
Matt_Frewer;Billy_Crudup;Stephen_McHattie
Don_Johnson;Philip_Michael_Thomas;John_Diehl
Leonardo_DiCaprio;Tom_Hardy;Lukas_Haas
Matt_Damon;Edgar_Ramírez;Albert_Finney
Angelina_Jolie_Pitt;Wayne_Knight;Dan_Fogler
Jennifer_Lawrence;Josh_Hutcherson;Sandra_Ellis_Lafferty
Daniel_Radcliffe;Gary_Oldman;Rupert_Grint
Rupert_Grint;Dave_Legeno;Ralph_Ineson
Daniel_Radcliffe;Fiona_Shaw;Verne_Troyer
Johnny_Depp;Orlando_Bloom;Jack_Davenport
Hugh_Jackman;Bruce_Davison;Aaron_Stanford
Robert_Downey_Jr.;Eddie_Marsan;Paul_Anderson
Ronny_Cox;Rachel_Ticotin;Marshall_Bell
Suraj_Sharma;Rafe_Spall;Tabu
Natalie_Portman;Christopher_Lee;Hayden_Christensen
Steve_Buscemi;John_Ratzenberger;James_Coburn
Phaldut_Sharma;Basher_Savage;Amy_Warren
Leonardo_DiCaprio;Adam_Scott;Frances_Conroy
George_Peppard;Dirk_Benedict;Dwight_Schultz
Christopher_Lee;Orlando_Bloom;Billy_Boyd
Matt_Damon;Donald_Glover;Benedict_Wong
Djimon_Hounsou;Connie_Nielsen;Oliver_Reed
Tom_Cruise;Frank_Grillo;Jessica_Capshaw
Eva_Green;Tobias_Menzies;Ivana_Milicevic
Joe_Morton;Jenette_Goldstein;S._Epatha_Merkerson
Denzel_Washington;Ruby_Dee;RZA
Leonardo_DiCaprio;Christoph_Waltz;Ato_Essandoh
Leonardo_DiCaprio;Djimon_Hounsou;Stephen_Collins
Leonardo_DiCaprio;Matthew_McConaughey;Jon_Favreau
Tom_Hanks;Jim_Sturgess;Jim_Broadbent
Leonardo_DiCaprio;Liam_Neeson;Jim_Broadbent
Christian_Bale;Ni_Ni;Shigeo_Kobayashi
Ioan_Gruffudd;Sam_Shepard;Ewen_Bremner
Milla_Jovovich;Bruce_Willis;Gary_Oldman
Alexander_Gould;Stephen_Root;Brad_Garrett
Orlando_Bloom;Billy_Boyd;Bernard_Hill
Christopher_Lee;Orlando_Bloom;Billy_Boyd
James_Franco;David_Oyelowo;Tyler_Labine
Holly_Hunter;Craig_T._Nelson;Lou_Romano
Tom_Hanks;John_Ratzenberger;Wayne_Knight
Leonardo_DiCaprio;Matt_Damon;Ray_Winstone
Ming-Na_Wen;Harvey_Fierstein;June_Foray
Robin_Wright;Goran_Visnjic;Joely_Richardson
Bruce_Willis;Aldis_Hodge;Kevin_Chamberlin
